annee;population_active
2013;28333000
2012;28230000
2011;28068000
2010;28082000
2009;27998000
2008;27759000
2007;27579000
2006;27369000
2005;27194000
2004;27004000
2003;26794000
2002;26560000
2001;26260000
2000;26078000
1999;25783000
1998;25567000
1997;25414000
1996;25444000
1995;25175000
1994;25031000
1993;24934000
1992;24805000
1991;24615000
1990;24662000
1989;24618000
1988;24442000
1987;24430000
1986;24401000
1985;24161000
1984;23988000
1983;23890000
1982;23823000
1981;23630000
1980;23480000
1979;23204000
1978;22776000
1977;22685000
1976;22360000
1975;22087000
